id,dirreccion,barrio,comuna,geometry,lat,lon,cluster
124,Paseo Colon Av. 900,San Telmo,Comuna 1,POINT (-58.36867035764147 -34.61822040487247),-34.61822040487247,-58.36867035764147,4
125,Necochea 200,La Boca,Comuna 4,POINT (-58.365732082233116 -34.62723282889668),-34.62723282889668,-58.365732082233116,4
126,Pueyrredon Av. 2502,Recoleta,Comuna 2,POINT (-58.3928960775791 -34.58525717869738),-34.58525717869738,-58.3928960775791,5
127,Callao Av. 1000,Recoleta,Comuna 2,POINT (-58.39329103957965 -34.59732684912391),-34.59732684912391,-58.39329103957965,5
128,Bolivar 1075,San Telmo,Comuna 1,POINT (-58.372925925875236 -34.6203972054461),-34.6203972054461,-58.372925925875236,4
129,Riobamba 1104,Recoleta,Comuna 2,POINT (-58.39472608666455 -34.59567278005889),-34.59567278005889,-58.39472608666455,5
130,Rivadavia Av. 11600,Liniers,Comuna 9,POINT (-58.52752249472757 -34.63933716755719),-34.63933716755719,-58.52752249472757,3
131,"Alvarez Thomas Av. y Dumont, Santos",Colegiales,Comuna 13,POINT (-58.44709586186076 -34.58203174326251),-34.58203174326251,-58.44709586186076,8
132,Pueyrredon Av. 2200,Recoleta,Comuna 2,POINT (-58.39737487702429 -34.58742237412604),-34.58742237412604,-58.39737487702429,5
133,Don Pedro De Mendoza Av. 1900,La Boca,Comuna 4,POINT (-58.36181049034309 -34.639379096509074),-34.639379096509074,-58.36181049034309,4
134,Godoy Cruz 1267,Villa Crespo,Comuna 15,POINT (-58.43841250196923 -34.590608569647834),-34.590608569647834,-58.43841250196923,8
135,Humboldt 1300,Chacarita,Comuna 15,POINT (-58.43951649946694 -34.58813254607832),-34.58813254607832,-58.43951649946694,8
136,"Ramos Mejia, Jose Maria, Dr. Av. 1360",Retiro,Comuna 1,POINT (-58.37452648707857 -34.591743166819775),-34.591743166819775,-58.37452648707857,0
137,Varela Av. 1371,Flores,Comuna 7,POINT (-58.4535343050558 -34.64415780990456),-34.64415780990456,-58.4535343050558,6
138,"Alcorta, Amancio Av. 1490",Barracas,Comuna 4,POINT (-58.38455354886483 -34.63449256079811),-34.63449256079811,-58.38455354886483,4
139,"Ramos Mejia, Jose Maria, Dr. Av. 1430",Retiro,Comuna 1,POINT (-58.37390397673204 -34.59082003171764),-34.59082003171764,-58.37390397673204,0
140,Jaramillo 2300,Nuñez,Comuna 13,POINT (-58.4675685087957 -34.54751280349117),-34.54751280349117,-58.4675685087957,7
141,La Rioja 900,San Cristobal,Comuna 3,POINT (-58.40755552375781 -34.62073978608749),-34.62073978608749,-58.40755552375781,2
142,Patricias Argentinas Av. 100,Caballito,Comuna 6,POINT (-58.43312081631825 -34.60762680980476),-34.60762680980476,-58.43312081631825,8
143,Melian Av. 2500,Belgrano,Comuna 13,POINT (-58.471335026074236 -34.56554573800942),-34.56554573800942,-58.471335026074236,7
144,2 De Abril De 1982 y Piedra Buena Av.,Villa Lugano,Comuna 8,POINT (-58.48935053579753 -34.67647843858237),-34.67647843858237,-58.48935053579753,9
145,Lima 1600,Constitucion,Comuna 1,POINT (-58.38223995121262 -34.6269148120993),-34.6269148120993,-58.38223995121262,4
146,"Paz, Gral. Av. 10852",Liniers,Comuna 9,POINT (-58.52883894956664 -34.64261073726406),-34.64261073726406,-58.52883894956664,3
147,"Lacroze, Federico Av. 4200",Chacarita,Comuna 15,POINT (-58.45497694766905 -34.586936753576786),-34.586936753576786,-58.45497694766905,8
148,Republica Bolivariana De Venezuela 1517,Monserrat,Comuna 1,POINT (-58.38774323699106 -34.614673134631076),-34.614673134631076,-58.38774323699106,4
149,Del Libertador Av. 4215,Palermo,Comuna 14,POINT (-58.42805134648168 -34.568667650068264),-34.568667650068264,-58.42805134648168,7
150,San Pedrito 1053,Flores,Comuna 7,POINT (-58.461323951740106 -34.64247046009236),-34.64247046009236,-58.461323951740106,6
151,Congreso 1614,Belgrano,Comuna 13,POINT (-58.45448075154617 -34.55132682065936),-34.55132682065936,-58.45448075154617,7
152,"Justo, Juan B. Av. 1617",Palermo,Comuna 14,POINT (-58.43598209380613 -34.58605390860211),-34.58605390860211,-58.43598209380613,8
153,"Araoz De Lamadrid, Gregorio, Gral. 800",La Boca,Comuna 4,POINT (-58.36356507876013 -34.63928671856812),-34.63928671856812,-58.36356507876013,4
154,Pueyrredon Av. 1714,Recoleta,Comuna 2,POINT (-58.401021130993556 -34.59129309334382),-34.59129309334382,-58.401021130993556,5
155,Segurola Av. 1700,Monte Castro,Comuna 10,POINT (-58.49923967755392 -34.62062033925748),-34.62062033925748,-58.49923967755392,3
156,Gallo 171,Balvanera,Comuna 3,POINT (-58.41365731521098 -34.60638766445399),-34.60638766445399,-58.41365731521098,2
157,"Garay, Juan De Av. 1770",Constitucion,Comuna 1,POINT (-58.39053453610882 -34.62731617760105),-34.62731617760105,-58.39053453610882,4
158,Callao Av. 1700,Recoleta,Comuna 2,POINT (-58.39011421826662 -34.590023461796484),-34.590023461796484,-58.39011421826662,5
159,Guido 1900,Recoleta,Comuna 2,POINT (-58.39091783857855 -34.589289606608375),-34.589289606608375,-58.39091783857855,5
160,"Guemes, Macacha 500",Puerto Madero,Comuna 1,POINT (-58.36237403837695 -34.604700825202386),-34.604700825202386,-58.36237403837695,0
161,"Flores, Venancio, Gral. 3700",Floresta,Comuna 10,POINT (-58.47942776154648 -34.63173375846021),-34.63173375846021,-58.47942776154648,6
162,"Goyena, Pedro Av. 400",Caballito,Comuna 6,POINT (-58.43262604822932 -34.625772928533046),-34.625772928533046,-58.43262604822932,2
163,"Cossettini, Olga y De La Barra,  Emma",Puerto Madero,Comuna 1,POINT (-58.36460102368958 -34.60103930555544),-34.60103930555544,-58.36460102368958,0
164,"Antartida Argentina Av. y Grierson, Cecilia",Retiro,Comuna 1,POINT (-58.36812860890467 -34.5984320378775),-34.5984320378775,-58.36812860890467,0
165,"Guemes, Macacha 400",Puerto Madero,Comuna 1,POINT (-58.36341369190727 -34.60478818908416),-34.60478818908416,-58.36341369190727,0
166,Avellaneda Av. 1400,Caballito,Comuna 6,POINT (-58.45188769313492 -34.61967992685862),-34.61967992685862,-58.45188769313492,6
167,Corrientes Av. 602,San Nicolas,Comuna 1,POINT (-58.375431188901445 -34.60340548618105),-34.60340548618105,-58.375431188901445,0
168,Corrientes Av. 700,San Nicolas,Comuna 1,POINT (-58.376550817829106 -34.60347414233079),-34.60347414233079,-58.376550817829106,0
169,Roosevelt Franklin D. Av. y Triunvirato Av.,Villa Urquiza,Comuna 12,POINT (-58.48723780503474 -34.573618856717005),-34.573618856717005,-58.48723780503474,1
170,Don Pedro De Mendoza Av. 1800,La Boca,Comuna 4,POINT (-58.36028876171086 -34.63897287446005),-34.63897287446005,-58.36028876171086,4
171,"Sanchez, Miguel B. Av. 1400",Nuñez,Comuna 13,POINT (-58.45808495828506 -34.543968116173865),-34.543968116173865,-58.45808495828506,7
172,"Freyre, Marcelino E., Cnel. Av. y Dorrego Av.",Palermo,Comuna 14,POINT (-58.421860001474116 -34.56859264335922),-34.56859264335922,-58.421860001474116,5
173,Las Heras General Av. 2600,Recoleta,Comuna 2,POINT (-58.39993614161081 -34.58514469638314),-34.58514469638314,-58.39993614161081,5
174,"Justo, Juan B. Av. 4100",Caballito,Comuna 6,POINT (-58.459345516735844 -34.605229049875),-34.605229049875,-58.459345516735844,6
175,Pueyrredon Av. 1680,Recoleta,Comuna 2,POINT (-58.40128434890444 -34.59184650517354),-34.59184650517354,-58.40128434890444,5
176,Paseo Colon Av. 1000,San Telmo,Comuna 1,POINT (-58.368440918518964 -34.6193088292788),-34.6193088292788,-58.368440918518964,4
177,"Py, Comodoro Av. 2002",Retiro,Comuna 1,POINT (-58.36868622060478 -34.587817797157),-34.587817797157,-58.36868622060478,0
178,San Juan Av. 2021,San Cristobal,Comuna 3,POINT (-58.394471570898205 -34.622827372647464),-34.622827372647464,-58.394471570898205,4
179,San Juan Av. 2021,San Cristobal,Comuna 3,POINT (-58.394471570898205 -34.622827372647464),-34.622827372647464,-58.394471570898205,4
180,Caseros Av. 2137,Parque Patricios,Comuna 4,POINT (-58.39265130236065 -34.63463399926767),-34.63463399926767,-58.39265130236065,4
181,Belgrano Av. 2179,Balvanera,Comuna 3,POINT (-58.397044230047825 -34.614096618536934),-34.614096618536934,-58.397044230047825,2
182,Jujuy Av. 1100,San Cristobal,Comuna 3,POINT (-58.40240548235328 -34.622326849105995),-34.622326849105995,-58.40240548235328,2
183,Rivadavia Av. 2250,Balvanera,Comuna 3,POINT (-58.3982198888709 -34.60968545387985),-34.60968545387985,-58.3982198888709,2
184,Uspallata 2278,Parque Patricios,Comuna 4,POINT (-58.393029845007604 -34.6372223174749),-34.6372223174749,-58.393029845007604,4
185,Pueyrredon Av. 2308,Recoleta,Comuna 2,POINT (-58.39613856499381 -34.58682293446575),-34.58682293446575,-58.39613856499381,5
186,"Carrillo, Ramon, Dr. 235",Barracas,Comuna 4,POINT (-58.382477205528254 -34.634351080642546),-34.634351080642546,-58.382477205528254,4
187,Constitucion y Lima,Constitucion,Comuna 1,POINT (-58.381432523043806 -34.62462507051386),-34.62462507051386,-58.381432523043806,4
188,Monroe 1600,Belgrano,Comuna 13,POINT (-58.451995411338025 -34.5536491454279),-34.5536491454279,-58.451995411338025,7
189,La Rioja 300,Balvanera,Comuna 3,POINT (-58.40857529377213 -34.61386376872032),-34.61386376872032,-58.40857529377213,2
190,"Ruggieri, Silvio L. 2800",Palermo,Comuna 14,POINT (-58.40778961708851 -34.5817463130576),-34.5817463130576,-58.40778961708851,5
191,Rivadavia Av. y Pergamino,Floresta,Comuna 10,POINT (-58.47460357657657 -34.63205654665024),-34.63205654665024,-58.47460357657657,6
192,"Campos, Luis M. Av. 800",Palermo,Comuna 14,POINT (-58.43555743338644 -34.57054622478667),-34.57054622478667,-58.43555743338644,7
193,Independencia Av. 2567,Balvanera,Comuna 3,POINT (-58.40177814392906 -34.61863035556411),-34.61863035556411,-58.40177814392906,2
194,"Aranguren, Juan F., Dr. 2691",Flores,Comuna 7,POINT (-58.46942114266113 -34.6242930628253),-34.6242930628253,-58.46942114266113,6
195,Warnes Av. 2636,Paternal,Comuna 15,POINT (-58.47594954637465 -34.59712245330702),-34.59712245330702,-58.47594954637465,1
196,Warnes Av. 2715,Paternal,Comuna 15,POINT (-58.474584768021714 -34.59693181372806),-34.59693181372806,-58.474584768021714,1
197,Cabildo Av. 2835,Belgrano,Comuna 13,POINT (-58.461853610403885 -34.555971517577554),-34.555971517577554,-58.461853610403885,7
198,Rondeau 2847,Parque Patricios,Comuna 4,POINT (-58.40337714898984 -34.63532427175674),-34.63532427175674,-58.40337714898984,2
199,"Mitre, Bartolome 2875",Balvanera,Comuna 3,POINT (-58.40648117382264 -34.608953930264875),-34.608953930264875,-58.40648117382264,2
200,Dorrego Av. 2600,Palermo,Comuna 14,POINT (-58.43445170048396 -34.574456418039524),-34.574456418039524,-58.43445170048396,8
201,San Juan Av. 2926,San Cristobal,Comuna 3,POINT (-58.40621607165322 -34.624353589985226),-34.624353589985226,-58.40621607165322,2
202,Beruti 2951,Recoleta,Comuna 2,POINT (-58.405834336472914 -34.58998762453915),-34.58998762453915,-58.405834336472914,5
203,"Alsina, Adolfo 2988",Balvanera,Comuna 3,POINT (-58.40832679465525 -34.61261861245998),-34.61261861245998,-58.40832679465525,2
204,"Jaures, Jean 1000",Balvanera,Comuna 3,POINT (-58.406712172270936 -34.59811849149823),-34.59811849149823,-58.406712172270936,5
205,Beruti 2500,Recoleta,Comuna 2,POINT (-58.401408999169306 -34.59260535268712),-34.59260535268712,-58.401408999169306,5
206,"Alsina, Adolfo 211",Monserrat,Comuna 1,POINT (-58.36977263226288 -34.60995831201029),-34.60995831201029,-58.36977263226288,0
207,La Pampa 600,Belgrano,Comuna 13,POINT (-58.43455003047938 -34.553069082005216),-34.553069082005216,-58.43455003047938,7
208,"Acevedo, Eduardo 600",Caballito,Comuna 6,POINT (-58.43294937485399 -34.60884903227409),-34.60884903227409,-58.43294937485399,8
209,Pilar 900,Liniers,Comuna 9,POINT (-58.516406188494415 -34.648793184970685),-34.648793184970685,-58.516406188494415,3
210,Campana 4600,Villa Devoto,Comuna 11,POINT (-58.50668978535298 -34.59045540301906),-34.59045540301906,-58.50668978535298,1
211,Junin 1600,Recoleta,Comuna 2,POINT (-58.39408675689257 -34.59011300297169),-34.59011300297169,-58.39408675689257,5
212,Corrientes Av. 6892,Chacarita,Comuna 15,POINT (-58.45498189449644 -34.58736141459823),-34.58736141459823,-58.45498189449644,8
213,Cordoba Av. 1200,San Nicolas,Comuna 1,POINT (-58.383921508131095 -34.59923287978565),-34.59923287978565,-58.383921508131095,0
214,"Obligado Rafael, Av.Costanera 1500",Palermo,Comuna 14,POINT (-58.40011881536446 -34.569357750458),-34.569357750458,-58.40011881536446,5
215,Belgrano Av. y Azopardo,Monserrat,Comuna 1,POINT (-58.36797453678788 -34.61221605945755),-34.61221605945755,-58.36797453678788,0
216,Corrientes Av. 314,San Nicolas,Comuna 1,POINT (-58.37159017602721 -34.60316679926773),-34.60316679926773,-58.37159017602721,0
217,"Figueroa, D. Apolinario, Coronel 370",Villa Crespo,Comuna 15,POINT (-58.44606365032226 -34.60471592906266),-34.60471592906266,-58.44606365032226,8
218,Cabildo Av. 3208,Nuñez,Comuna 13,POINT (-58.46535213704162 -34.55272185521905),-34.55272185521905,-58.46535213704162,7
219,Monroe Av. 3238,Belgrano,Comuna 13,POINT (-58.46789489790507 -34.56332123836397),-34.56332123836397,-58.46789489790507,7
220,"Chutro, Pedro, Prof., Dr. 3350",Parque Patricios,Comuna 4,POINT (-58.41058562273644 -34.6429404542078),-34.6429404542078,-58.41058562273644,2
221,Quevedo 3397,Villa Devoto,Comuna 11,POINT (-58.51831144257114 -34.61158555545749),-34.61158555545749,-58.51831144257114,3
222,Gaona Av. 3429,Villa Santa Rita,Comuna 11,POINT (-58.47340796418416 -34.61998815534105),-34.61998815534105,-58.47340796418416,6
223,"Garay, Juan De Av. 1100",Constitucion,Comuna 1,POINT (-58.38017111366586 -34.62635888911354),-34.62635888911354,-58.38017111366586,4
224,Miranda 4400,Monte Castro,Comuna 10,POINT (-58.499253942138616 -34.61881172946592),-34.61881172946592,-58.499253942138616,3
225,Perdriel 36,Barracas,Comuna 4,POINT (-58.38811040652051 -34.63460305629428),-34.63460305629428,-58.38811040652051,4
226,"Vega, Ventura De La 3723",Nueva Pompeya,Comuna 4,POINT (-58.41191577690969 -34.6529732327712),-34.6529732327712,-58.41191577690969,2
227,Cadiz 3727,Parque Chas,Comuna 15,POINT (-58.474682085836854 -34.58139338637846),-34.58139338637846,-58.474682085836854,1
228,Moreno 800,Monserrat,Comuna 1,POINT (-58.377514402255066 -34.61167079756783),-34.61167079756783,-58.377514402255066,0
229,"Goyena, Pedro Av. 381",Caballito,Comuna 6,POINT (-58.4322278574973 -34.62557214710821),-34.62557214710821,-58.4322278574973,2
230,"Calvo, Carlos 383",San Telmo,Comuna 1,POINT (-58.37123550023653 -34.61944480588541),-34.61944480588541,-58.37123550023653,4
231,Independencia Av. 3897,Almagro,Comuna 5,POINT (-58.42037428094237 -34.62116995637654),-34.62116995637654,-58.42037428094237,2
232,"Paz, Gral. Av. 10600",Liniers,Comuna 9,POINT (-58.5290364138796 -34.63876727612159),-34.63876727612159,-58.5290364138796,3
233,San Martin De Tours 3000,Palermo,Comuna 14,POINT (-58.4035680818785 -34.57765057793121),-34.57765057793121,-58.4035680818785,5
234,"Figueroa Alcorta, Pres. Av. 7500",Belgrano,Comuna 13,POINT (-58.44795608445776 -34.54699749961856),-34.54699749961856,-58.44795608445776,7
235,Echeverria 2300,Belgrano,Comuna 13,POINT (-58.4547433913447 -34.562380839729514),-34.562380839729514,-58.4547433913447,7
236,"Bullrich, Int. Av. 400",Palermo,Comuna 14,POINT (-58.4255873702837 -34.57574405948038),-34.57574405948038,-58.4255873702837,5
237,Acassuso 6419,Liniers,Comuna 9,POINT (-58.51408309896974 -34.648747427166654),-34.648747427166654,-58.51408309896974,3
238,Azcuenaga 2000,Recoleta,Comuna 2,POINT (-58.39453052993478 -34.58686039647189),-34.58686039647189,-58.39453052993478,5
239,Cordoba Av. 4050,Villa Crespo,Comuna 15,POINT (-58.42420461158901 -34.59743749334602),-34.59743749334602,-58.42420461158901,8
240,Potosi 4097,Almagro,Comuna 5,POINT (-58.42444938361702 -34.60721593813521),-34.60721593813521,-58.42444938361702,8
241,Cordoba Av. 4142,Villa Crespo,Comuna 15,POINT (-58.4253702651075 -34.59695513888941),-34.59695513888941,-58.4253702651075,8
242,"Peron, Juan Domingo, Tte. General 4190",Almagro,Comuna 5,POINT (-58.425923200304084 -34.60600191161627),-34.60600191161627,-58.425923200304084,8
243,Diaz Velez Av. 4700,Caballito,Comuna 6,POINT (-58.43281608430789 -34.608804462573005),-34.608804462573005,-58.43281608430789,8
244,Gallo 600,Almagro,Comuna 5,POINT (-58.41289383362858 -34.6025880155224),-34.6025880155224,-58.41289383362858,5
245,Cordoba Av. 466,San Nicolas,Comuna 1,POINT (-58.373794385171756 -34.59867116457981),-34.59867116457981,-58.373794385171756,0
246,"De La Torre, Lisandro 1000",Liniers,Comuna 9,POINT (-58.5171377814138 -34.6494465132002),-34.6494465132002,-58.5171377814138,3
247,"Garay, Juan De Av. 200",San Telmo,Comuna 1,POINT (-58.36795621855991 -34.624144536401175),-34.624144536401175,-58.36795621855991,4
248,Lima 1600,Constitucion,Comuna 1,POINT (-58.38223995121262 -34.6269148120993),-34.6269148120993,-58.38223995121262,4
249,Dorrego 1782,Colegiales,Comuna 13,POINT (-58.443010129750384 -34.58132216848959),-34.58132216848959,-58.443010129750384,8
250,Corrientes Av. 100,San Nicolas,Comuna 1,POINT (-58.368902335543766 -34.602961491837085),-34.602961491837085,-58.368902335543766,0
251,Diaz Velez Av. 3600,Almagro,Comuna 5,POINT (-58.41749207285964 -34.608533976180965),-34.608533976180965,-58.41749207285964,2
252,"Peron, Juan Domingo, Tte. General 4272",Almagro,Comuna 5,POINT (-58.42695636701187 -34.60599647085085),-34.60599647085085,-58.42695636701187,8
253,Del Libertador Av. 440,Retiro,Comuna 1,POINT (-58.37994117116476 -34.58999423550156),-34.58999423550156,-58.37994117116476,0
254,"Alem, Leandro N. Av. 1000",Retiro,Comuna 1,POINT (-58.37272499289863 -34.595325108112185),-34.595325108112185,-58.37272499289863,0
255,Sarmiento Av. 2704,Palermo,Comuna 14,POINT (-58.41565476894367 -34.575507461978496),-34.575507461978496,-58.41565476894367,5
256,Asamblea Av. 1150,Parque Chacabuco,Comuna 7,POINT (-58.441051371554444 -34.63577002200659),-34.63577002200659,-58.441051371554444,6
257,Ramos Mejia y Franklin,Caballito,Comuna 6,POINT (-58.43263620835239 -34.60542994645572),-34.60542994645572,-58.43263620835239,8
258,Cordoba Av. 596,Retiro,Comuna 1,POINT (-58.37533187397457 -34.59869687357453),-34.59869687357453,-58.37533187397457,0
259,"Moreno, Jose Maria Av. 10",Caballito,Comuna 6,POINT (-58.43625469617598 -34.6184898359938),-34.6184898359938,-58.43625469617598,8
260,Cordoba Av. 1752,San Nicolas,Comuna 1,POINT (-58.392292844999616 -34.59968058321381),-34.59968058321381,-58.392292844999616,0
261,Antartida Argentina Av. 1455,Retiro,Comuna 1,POINT (-58.373259813401965 -34.58319514045627),-34.58319514045627,-58.373259813401965,0
262,Gascon 400,Almagro,Comuna 5,POINT (-58.424694947159146 -34.607358304046315),-34.607358304046315,-58.424694947159146,8
263,De Los Inmigrantes Av. 1950,Retiro,Comuna 1,POINT (-58.37060061031819 -34.58586086403051),-34.58586086403051,-58.37060061031819,0
264,Diaz Velez Av. 5082,Caballito,Comuna 6,POINT (-58.43836930538582 -34.60887253938018),-34.60887253938018,-58.43836930538582,8
265,Honduras 5389,Palermo,Comuna 14,POINT (-58.43385498674629 -34.58608457725701),-34.58608457725701,-58.43385498674629,8
266,Avellaneda 561,Caballito,Comuna 6,POINT (-58.439098351162066 -34.614477983049554),-34.614477983049554,-58.439098351162066,8
267,Cerviño Av. 4800,Palermo,Comuna 14,POINT (-58.4249339831034 -34.57467480940475),-34.57467480940475,-58.4249339831034,5
